name,smiles,motif_count,motifs,alt_motifs,error
4-Bromophenylhydrazine hydrochloride,NNc1ccc(Br)cc1,2,Ar-Hydrazine / Ar-Br,Ar-NHR / Ar-X,
3-hydrazinylbenzonitrile hydrochloride,N#Cc1cccc(NN)c1,2,Ar-CN / Ar-Hydrazine,Ar-NHR,
[2-(trifluoromethyl)phenyl]hydrazine hydrochloride,NNc1ccccc1C(F)(F)F,2,Ar-CF3 / Ar-Hydrazine,Ar-R / Alkyl-F / Alkyl-X / Ar-NHR,
4-Fluorophenacyl bromide,O=C(CBr)c1ccc(F)cc1,5,Ar-COR / Ar-F / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
2-Chlorophenylhydrazine hydrochloride,NNc1ccccc1Cl,2,Ar-Hydrazine / Ar-Cl,Ar-NHR / Ar-X,
3-(2-pyridyl)acrylic acid,O=C(O)C=Cc1ccccn1,3,Alkenyl-CO2H / Ar-C=C / Pyridine,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
4-Aminobenzyl Cyanide,N#CCc1ccc(N)cc1,4,Bn-CN / Ar-NH2 / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / RCH2-CN / Alkyl-CN / Alkyl-H / Alkyl-H,
"3,5-difluorophenylhydrazine hydrochloride",NNc1cc(F)cc(F)c1,3,Ar-Hydrazine / Ar-F / Ar-F,Ar-NHR / Ar-X / Ar-X,
5-Chloroindole,Clc1ccc2[nH]ccc2c1,3,Ar-Cl / AromN-H / Indole,Ar-X / Pyrrole,
4-Methyl-2-oxovaleric acid,CC(C)CC(=O)C(=O)O,3,Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR,Alkyl-H / Alkyl-H / Alkyl-COR,
4-(Hydroxymethyl)benzonitrile,N#Cc1ccc(CO)cc1,3,Ar-CN / Ar-R / Bn-OH,RCH2-OH / Alkyl-OH,
Cyclohexylacetylene,C#CC1CCCCC1,1,Alkyl-C#CH,Alkynyl-H / Alkyl-C#C / Any-C#C,
1-(4-Chlorophenyl)-1-cyclopropanecarboxylic acid,O=C(O)C1(c2ccc(Cl)cc2)CC1,3,Ar-R / Ar-Cl / R3C-CO2H,Ar-X / Alkyl-CO2H,
(4-Benzyloxyphenyl)hydrazine hydrochloride,NNc1ccc(OCc2ccccc2)cc1,4,Ar-OR / Ar-Hydrazine / Ar-R / Bn-OR,RCH2-OR / Alkyl-OR / Ar-NHR,
5-bromo-2-phenylpyridine,Brc1ccc(-c2ccccc2)nc1,3,Ar-Br / Ar-Ar / Pyridine,Ar-X,
3-(2-Chlorophenyl)propionic acid,O=C(O)CCc1ccccc1Cl,5,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H,
Bis(4-bromophenyl)acetylene,Brc1ccc(C#Cc2ccc(Br)cc2)cc1,4,Ar-C#C / Ar-C#C / Ar-Br / Ar-Br,Any-C#C / Ar-X / Ar-X,
7-Nitroindole,O=[N+]([O-])c1cccc2cc[nH]c12,3,Ar-NO2 / AromN-H / Indole,Ar-NR2 / Pyrrole,
4-Nitrophenylhydrazine hydrochloride,NNc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-Hydrazine,Ar-NR2 / Ar-NHR,
4-Ethynylbenzyl alcohol,C#Cc1ccc(CO)cc1,3,Ar-C#CH / Ar-R / Bn-OH,Ar-C#C / Alkynyl-H / Any-C#C / RCH2-OH / Alkyl-OH,
1-Phenylisoquinoline,c1ccc(-c2nccc3ccccc23)cc1,2,Ar-Ar / Isoquinoline,,
3-Chlorophenylboronic acid pinacol ester,CC1(C)OB(c2cccc(Cl)c2)OC1(C)C,2,Ar-Bpin / Ar-Cl,Ar-B(OR)2 / Ar-X,
5-Bromo-m-xylene,Cc1cc(C)cc(Br)c1,3,Ar-R / Ar-R / Ar-Br,Ar-X,
4-(tert-Butyl)-2-phenylpyridine,CC(C)(C)c1ccnc(-c2ccccc2)c1,3,Ar-R / Ar-Ar / Pyridine,,
"1,4-dihydro-1,4-epoxynaphthalene",C1=CC2OC1c1ccccc12,5,Ar-R / Ar-R / R2CH-OR / Alkyl-C=C / Alkyl-C=C,Alkyl-OR,
4-Fluoroindole,Fc1cccc2[nH]ccc12,3,Ar-F / AromN-H / Indole,Ar-X / Pyrrole,
2-mercaptobenzoxazole,S=c1[nH]c2ccccc2o1,2,AromN-H / Oxazole,,
Phenoxathiin,c1ccc2c(c1)Oc1ccccc1S2,2,Ar-OAr / Ar-SAr,Ar-OR / Ar-SR,
"Phenyl 2,3,4,6-Tetra-O-Acetyl-1-Thio-Beta-D-Glucopyranoside",CC(=O)OCC1OC(Sc2ccccc2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,18,Ar-SR / Alkyl-Ester / Alkyl-Ester / Alkyl-Ester / Alkyl-Ester / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-OR,R2CH-SR / Alkyl-SR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-OR,
2-Mercaptobenzothiazole,S=c1[nH]c2ccccc2s1,2,AromN-H / Thiazole,,
4-Cyanophenacyl Bromide,N#Cc1ccc(C(=O)CBr)cc1,5,Ar-CN / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
Dibenzyl Disulfide,c1ccc(CSSCc2ccccc2)cc1,2,Ar-R / Ar-R,,
2-Nitrophenyl Phenyl Sulfide,O=[N+]([O-])c1ccccc1Sc1ccccc1,2,Ar-SAr / Ar-NO2,Ar-SR / Ar-NR2,
"10,11-dihydro-a-methyl-10-oxo-dibenzo[b,f]thiepin-2-acetic acid",CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,9,Ar-SAr / Ar-COR / Ar-R / Ar-R / R2CH-CO2H / Bn-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-SR / RCH2-COR / Alkyl-COR / Alkyl-CO2H / Alkyl-H / Alkyl-H / Alkyl-H,
4-(Methylthio)phenol,CSc1ccc(O)cc1,2,Ar-SR / Ar-OH,CH3-SR / Alkyl-SR,
2-Bromo-3'-nitroacetophenone,O=C(CBr)c1cccc([N+](=O)[O-])c1,5,Ar-NO2 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,Ar-NR2 / RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
5-Bromobenzofuran,Brc1ccc2occc2c1,2,Ar-Br / Benzofuran,Ar-X,
4-(Trifluoromethoxy)phenacyl bromide,O=C(CBr)c1ccc(OC(F)(F)F)cc1,5,Ar-OCF3 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,Ar-OR / Alkyl-OR / Alkyl-F / Alkyl-X / RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
2-Acetylphenothiazine,CC(=O)c1ccc2c(c1)Nc1ccccc1S2,6,Ar-SAr / Ar-NHAr / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-SR / Ar-NHR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
Tetrahydro-4H-thiopyran-4-one,O=C1CCSCC1,6,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-COR / RCH2-SR,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-SR,
Modafinil Related Compound C,NC(=O)CSC(c1ccccc1)c1ccccc1,5,Ar-R / RCH2-CONH2 / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-SR,Alkyl-CONH2 / Alkyl-H / Alkyl-H / R2CH-SR,
4-Fluoro-3-(trifluoromethyl)phenacyl bromide,O=C(CBr)c1ccc(F)c(C(F)(F)F)c1,6,Ar-CF3 / Ar-COR / Ar-F / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,Ar-R / Alkyl-F / Alkyl-X / RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
4-(Methylthio)benzyl alcohol,CSc1ccc(CO)cc1,3,Ar-SR / Ar-R / Bn-OH,CH3-SR / Alkyl-SR / RCH2-OH / Alkyl-OH,
Phenothiazine,c1ccc2c(c1)Nc1ccccc1S2,2,Ar-SAr / Ar-NHAr,Ar-SR / Ar-NHR,
"Acetophenone, 2-bromo-4'-iodo-",O=C(CBr)c1ccc(I)cc1,5,Ar-COR / Ar-I / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,RCH2-COR / Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
2-[(Diphenylmethyl)thio]acetic Acid,O=C(O)CSC(c1ccccc1)c1ccccc1,5,Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-SR,Alkyl-CO2H / Alkyl-H / Alkyl-H / R2CH-SR,
Pregnenolone,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,8,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / R2CH-COR / R2CH-OH / Alkyl-C=C / Alkyl-C=C,Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-COR / Alkyl-OH,
Tetrahydrothiopyran-4-ol,OC1CCSCC1,2,RCH2-SR / R2CH-OH,Alkyl-SR / Alkyl-OH,
4-Chlorophenylhydrazine hydrochloride,NNc1ccc(Cl)cc1,2,Ar-Hydrazine / Ar-Cl,Ar-NHR / Ar-X,
Carbazole,c1ccc2c(c1)[nH]c1ccccc12,3,AromN-H / Indole / Indole,Pyrrole,
alpha-Tetralone,O=C1CCCc2ccccc21,4,Ar-COR / Ar-R / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H,
Xanthotoxin,COc1c2occc2cc2ccc(=O)oc12,2,Ar-OR / Benzofuran,CH3-OR / Alkyl-OR / Furan,
4-Nitrothioanisole,CSc1ccc([N+](=O)[O-])cc1,2,Ar-NO2 / Ar-SR,Ar-NR2 / CH3-SR / Alkyl-SR,
3'-Methoxyacetophenone,COc1cccc(C(C)=O)c1,5,Ar-COR / Ar-OR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / CH3-OR / Alkyl-OR / Alkyl-H / Alkyl-H / Alkyl-H,
4-Methylvaleric acid,CC(C)CCC(=O)O,3,RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-CO2H / Alkyl-H / Alkyl-H,
"2,4,5-Trifluorobenzaldehyde",O=Cc1cc(F)c(F)cc1F,4,Ar-CHO / Ar-F / Ar-F / Ar-F,Ar-X / Ar-X / Ar-X,
3'-Bromoacetophenone,CC(=O)c1cccc(Br)c1,5,Ar-COR / Ar-Br / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-COR / Ar-X / Alkyl-H / Alkyl-H / Alkyl-H,
2'-(Trifluoromethyl)acetophenone,CC(=O)c1ccccc1C(F)(F)F,5,Ar-CF3 / Ar-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / Alkyl-F / Alkyl-X / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H,
3-(4-Chlorophenyl)propionic acid,O=C(O)CCc1ccc(Cl)cc1,5,Ar-R / Ar-Cl / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Ar-X / Alkyl-CO2H / Alkyl-H / Alkyl-H,
Diethyl Fluoromalonate,CCOC(=O)C(F)C(=O)OCC,4,R2CH-CO2R / R2CH-CO2R / Alkyl-H-acidic / R2CH-F,Alkyl-Ester / Alkyl-Ester / Alkyl-H / Alkyl-F / R2CH-X / Alkyl-X,
Scandium(III) trifluoromethanesulfonate,C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].C(F)(F)(F)S(=O)(=O)[O-].[Sc+3],9,Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Octylphosphonic acid,CCCCCCCCP(=O)(O)O,1,Alkyl-H,,
Indium(III) trifluoromethanesulfonate,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F.[In+3],9,Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
sodium p-tolylsulfinate,Cc1ccc(S(=O)O)cc1,1,Ar-R,,
"CHLORO[1,3-BIS(2,6-DI-I-PROPYLPHENYL)IMIDAZOL-2-YLIDENE]COPPER(I)",CC(C)C1=C(C(=CC=C1)C(C)C)N2[CH-]N(C=C2)C3=C(C=CC=C3C(C)C)C(C)C.Cl[Cu+],8,Alkenyl-NR2 / Alkenyl-NR2 / Ar-NR2 / Ar-NR2 / Ar-R / Ar-R / Ar-R / Ar-R,Any-Dienophile / Motif-C=C / Cyclohexene,
"1H,1H,2H,2H-Perfluorooctyltriethoxysilane",CCO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCC)OCC,12,Alkyl-CF3 / Alkyl-Si / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-F / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Bis(cyclopentadienyl)zirconium dichloride,[CH-]1C=CC=C1.[CH-]1C=CC=C1.Cl[Zr+2]Cl,1,Ar-H,,
"(4-{5-[bis(3,5-di-tert-butyl-4-methoxyphenyl)phosphanyl]-2H-1,3-benzodioxol-4-yl}-2H-1,3-benzodioxol-5-yl)bis(3,5-di-tert-butyl-4-methoxyphenyl)phosphane...",COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,19,Ar-PR2 / Ar-PR2 / Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-OR / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / RCH2-OR / Alkyl-OR / RCH2-OR / Alkyl-OR,
Hydridotetrakis(triphenylphosphine)rhodium(I),[Rh].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,4,Ar-PR2 / Ar-PR2 / Ar-PR2 / Ar-PR2,,
"(1-{2-[bis(3,5-dimethylphenyl)phosphanyl]naphthalen-1-yl}naphthalen-2-yl)bis(3,5-dimethylphenyl)phosphane",Cc1cc(C)cc(P(c2cc(C)cc(C)c2)c2ccc3ccccc3c2-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)ccc3ccccc23)c1,11,Ar-PR2 / Ar-PR2 / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-R / Ar-Ar,,
ethyl 2-(4-fluorophenyl)acetate,CCOC(=O)Cc1ccc(F)cc1,4,Bn-CO2R / Ar-F / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / RCH2-CO2R / Alkyl-Ester / Ar-X / Alkyl-H / Alkyl-H,
4-chlorobenzenesulfonic acid,O=S(=O)(O)c1ccc(Cl)cc1,1,Ar-Cl,Ar-X,
Bis(cyclopentadienyl)zirconium chloride hydride,[CH-]1[C-]=[C-][C-]=[C-]1.[CH-]1[C-]=[C-][C-]=[C-]1.Cl[ZrH],1,Ar-H,,
Sliver bis(trifluoromethane sulfonimide),O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Ag+],6,Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Potassium thioacetate,CC(=O)S,3,Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,Alkyl-H / Alkyl-H / Alkyl-H,
lithium trifluoroacetate,[Li+].FC(F)(F)C(=O)[O-],4,Alkyl-F / Alkyl-F / Alkyl-F / Any-CO2M,Alkyl-X / Alkyl-X / Alkyl-X,
"1,2,3,4,5-Pentaphenyl-1'-(di-t-butylphosphino)ferrocene",CC(C)(C)P(c1ccc[cH-]1)C(C)(C)C.[Fe+2].c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)[c-](-c3ccccc3)c2-c2ccccc2)cc1,6,Ar-PR2 / Ar-Ar / Ar-Ar / Ar-Ar / Ar-Ar / Ar-Ar,Alkyl-PR2,
"Sodium Tetrakis[3,5-bis(trifluoromethyl)phenyl]borate Hydrate",FC(F)(F)c1cc([B-](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,8,Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-CF3 / Ar-CF3,Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X / Ar-R / Alkyl-F / Alkyl-X,
Phenylboronic acid pinacol ester,CC1(C)OB(c2ccccc2)OC1(C)C,1,Ar-Bpin,Ar-B(OR)2,
4-Nitro-o-phenylenediamine,Nc1ccc([N+](=O)[O-])cc1N,3,Ar-NO2 / Ar-NH2 / Ar-NH2,Ar-NR2,
"1,2-benzenediamine, 4,5-dibromo-",Nc1cc(Br)c(Br)cc1N,4,Ar-NH2 / Ar-NH2 / Ar-Br / Ar-Br,Ar-X / Ar-X,
2-Bromoacetamide,NC(=O)CBr,4,RCH2-CONH2 / Alkyl-H-acidic / Alkyl-H-acidic / RCH2-Br,Alkyl-CONH2 / Alkyl-H / Alkyl-H / Alkyl-Br / RCH2-X / Alkyl-X,
"4,5-Dichloro-o-phenylenediamine",Nc1cc(Cl)c(Cl)cc1N,4,Ar-NH2 / Ar-NH2 / Ar-Cl / Ar-Cl,Ar-X / Ar-X,
lithium tri-tert-butoxyaluminohydride,CCCCCCCCOC1OC(CO)C(O)C(O)C1O,6,R2CH-OR / RCH2-OR / R2CH-OH / R2CH-OH / R2CH-OH / RCH2-OH,Alkyl-OR / R2CH-OR / Alkyl-OH / Alkyl-OH / Alkyl-OH / Alkyl-OH,
"2,1-Benzisoxazole",c1ccc2nocc2c1,1,Ar-H,,
Triethylene glycol,OCCOCCOCCO,4,RCH2-OR / RCH2-OR / RCH2-OH / RCH2-OH,Alkyl-OR / Alkyl-OR / Alkyl-OH / Alkyl-OH,
1-Fluoro-2-nitrobenzene,O=[N+]([O-])c1ccccc1F,2,Ar-NO2 / Ar-F,Ar-NR2 / Ar-X,
1-Decene,C=CCCCCCCCC,1,Alkyl-C=CH2,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C,
"1H,1H,2H-Perfluoro-1-decene",C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,16,Alkyl-C=CH2 / Alkyl-CF3 / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F / Alkyl-F,Alkenyl-H / Alkyl-C=C / Any-Dienophile / Motif-C=C / Alkyl-F / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X / Alkyl-X,
Poly(ethylene glycol) diacrylate,C=CC(=O)OCCOC(=O)C=C,2,Alkenyl-CO2R / Alkenyl-CO2R,Any-Dienophile / Motif-C=C / Any-Dienophile / Motif-C=C,
"1,3-Diphenyl-2-propanone",O=C(Cc1ccccc1)Cc1ccccc1,7,Ar-R / Ar-R / Bn-COR / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Alkyl-H / Alkyl-H / Alkyl-H / Alkyl-H,
"1,3-Dibromopropane",BrCCCBr,2,RCH2-Br / RCH2-Br,Alkyl-Br / RCH2-X / Alkyl-X / Alkyl-Br / RCH2-X / Alkyl-X,
3-Methylindole,Cc1c[nH]c2ccccc12,3,Ar-R / AromN-H / Indole,Pyrrole,
N-Butylbenzenesulfonamide,CCCCNS(=O)(=O)c1ccccc1,2,Ar-SO2NHR / Alkyl-Sulfonamide,,
3'-Bromophenyl acetylene,C#Cc1cccc(Br)c1,2,Ar-C#CH / Ar-Br,Ar-C#C / Alkynyl-H / Any-C#C / Ar-X,
1-Ethynyl-4-pentylbenzene,C#Cc1ccc(CCCCC)cc1,2,Ar-C#CH / Ar-R,Ar-C#C / Alkynyl-H / Any-C#C,
5-Cyano-1H-indole,N#Cc1ccc2[nH]ccc2c1,3,Ar-CN / AromN-H / Indole,Pyrrole,
4-Methoxyindole,COc1cccc2[nH]ccc12,3,Ar-OR / AromN-H / Indole,CH3-OR / Alkyl-OR / Pyrrole,
"3,4,5-Trimethoxyphenol",COc1cc(O)cc(OC)c1OC,4,Ar-OR / Ar-OR / Ar-OR / Ar-OH,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
Methyl Indole-5-carboxylate,COC(=O)c1ccc2[nH]ccc2c1,3,Ar-CO2R / AromN-H / Indole,Pyrrole,
6-Chloroindole,Clc1ccc2cc[nH]c2c1,3,Ar-Cl / AromN-H / Indole,Ar-X / Pyrrole,
(2Z)-3-(3-chloro-4-fluorophenyl)prop-2-enoic acid,O=C(O)C=Cc1ccc(F)c(Cl)c1,4,Alkenyl-CO2H / Ar-C=C / Ar-Cl / Ar-F,Any-Dienophile / Motif-C=C / Ar-Alkenyl / Ar-X / Ar-X,
3-[4-(Trifluoromethyl)phenyl]propionic acid,O=C(O)CCc1ccc(C(F)(F)F)cc1,5,Ar-CF3 / Ar-R / RCH2-CO2H / Alkyl-H-acidic / Alkyl-H-acidic,Ar-R / Alkyl-F / Alkyl-X / Alkyl-CO2H / Alkyl-H / Alkyl-H,
5-Indoleboronic acid pinacol ester,CC1(C)OB(c2ccc3[nH]ccc3c2)OC1(C)C,3,Ar-Bpin / AromN-H / Indole,Ar-B(OR)2 / Pyrrole,
"2,3-Dihydro-4H-1-benzopyran-4-one",O=C1CCOc2ccccc21,4,Ar-COR / Ar-OR / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / RCH2-OR / Alkyl-OR / Alkyl-H / Alkyl-H,
2-Bromo-5-iodopyridine,Brc1ccc(I)cn1,3,Ar-Br / Ar-I / Pyridine,Ar-X / Ar-X,
"(3aR,5S,6S,6aR)-5-((R)-2,2-Dimethyl-1,3-dioxolan-4-yl)-2,2-dimethyltetrahydrofuro[2,3-d][1,3]dioxol-6-ol",CC1(C)OCC(C2OC3OC(C)(C)OC3C2O)O1,6,R2CH-OR / R3C-OR / R3C-OR / R3C-OR / RCH2-OR / R2CH-OH,Alkyl-OR / R2CH-OR / R2CH-OR / R2CH-OR / R3C-OR / Alkyl-OH,
"1-Bromo-3,5-dimethoxybenzene",COc1cc(Br)cc(OC)c1,3,Ar-OR / Ar-OR / Ar-Br,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR / Ar-X,
(E)-3-(4-cyanophenyl)prop-2-enoic acid,N#Cc1ccc(C=CC(=O)O)cc1,3,Alkenyl-CO2H / Ar-CN / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
3-(1-naphthyl)acrylic acid,O=C(O)C=Cc1cccc2ccccc12,2,Alkenyl-CO2H / Ar-C=C,Any-Dienophile / Motif-C=C / Ar-Alkenyl,
1-Benzothiophen-2-ylboronic acid,OB(O)c1cc2ccccc2s1,2,Ar-B(OH)2 / Benzothiophene,,
4-Chloroaniline,Nc1ccc(Cl)cc1,2,Ar-NH2 / Ar-Cl,Ar-X,
2-Aminophenol,Nc1ccccc1O,2,Ar-NH2 / Ar-OH,,
"3,5-Dimethoxyaniline",COc1cc(N)cc(OC)c1,3,Ar-OR / Ar-OR / Ar-NH2,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
Tetrachloroisophthalonitrile,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,6,Ar-CN / Ar-CN / Ar-Cl / Ar-Cl / Ar-Cl / Ar-Cl,Ar-X / Ar-X / Ar-X / Ar-X,
o-Phthalaldehyde,O=Cc1ccccc1C=O,2,Ar-CHO / Ar-CHO,,
"4,4'-Dimethoxybenzophenone",COc1ccc(C(=O)c2ccc(OC)cc2)cc1,3,Ar-COR / Ar-OR / Ar-OR,CH3-OR / Alkyl-OR / CH3-OR / Alkyl-OR,
2-(2-Thienyl)pyridine,c1ccc(-c2cccs2)nc1,3,Ar-Ar / Pyridine / Thiophene,,
(3-(ethoxycarbonyl)phenyl)boronic acid,CCOC(=O)c1cccc(B(O)O)c1,2,Ar-B(OH)2 / Ar-CO2R,,
"Ethyl 2,4,5-trifluorobenzoylacetate",CCOC(=O)CC(=O)c1cc(F)c(F)cc1F,7,Ar-COR / Ar-F / Ar-F / Ar-F / RCH2-CO2R / Alkyl-H-acidic / Alkyl-H-acidic,RCH2-COR / Alkyl-COR / Ar-X / Ar-X / Ar-X / Alkyl-Ester / Alkyl-H / Alkyl-H,
9-phenyl-9H-carbazol-3-ylboronic acid,OB(O)c1ccc2c(c1)c1ccccc1n2-c1ccccc1,2,Ar-B(OH)2 / Ar-AromN,,
